id,价格,评价,评价日期,票务类型,评论,
刘晶0619,165,4,2021.06.20,兰州极地海洋世界门票成人票,这是我们村第一个在淘宝上买东西的人，这里大部分人是不网购的。他们买东西价格一般不超过五块，听说我在淘宝买东西之后，全村都震惊了，村长跑来我家里对我的爸说我疯了! 媳妇跟我闹离婚，说这日子没法过了! 面对重重压5力，我坚持买、买!我相信这个月的工资不会白花的。终于快递到了，我怀揣这激动的心情，颤抖着打开包裹，那一刹那，我感觉我的眼睛要亮瞎了，啊..这颜值这,
拈花一笑呵呵呵,165,3,2021.08.21,兰州极地海洋世界门票成人票,设施很旧了，兰州这个地方已经没有什么玩的了。只有这一家,
YfH509415612,165,3,2021.08.24,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,其它都挺好的就是表演节目的时间不好。有时候赶不上,
YfH509415612,165,3,2021.08.24,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,陪孩子去的。就是表演节目的时间没赶上。太可惜了,
pWw146388585,165,2,2021.08.25,兰州极地海洋世界门票成人票,设施环境一般，票价和实际不符合,
ZvC592221196,165,1,2021.07.20,兰州极地海洋世界夜场票成人票,服务太差，当天晚上带孩子去，检票囗的工作人员态度极其不好，问她表演时间直接很不耐烦的回了一句自己听广播，我们进去美人女表演己经开始，让我们自己听广播，请问我去哪里听广播。检票口卫生间的臭味太大。,
TSi977710248,165,2,2021.07.24,兰州极地海洋世界门票成人票,挖沙区越来越大，动物区全方面缩水，美人鱼表演由原来的三人变成一人，敷衍到不忍直视，园区三个女厕所，不是堵就是锁，唯一能用的两个蹲位排长龙……唯一不变的就是价格，还有越来越少的优惠。,
nTl250067440,165,4,2021.08.12,兰州极地海洋世界门票成人票, ,
VqP170520982,165,3,2021.08.19,兰州极地海洋世界女神节门票女士票,还不错，孩子玩的很高兴，就是门口连个休息的椅子都没有，有些差劲,
JPJ456653926,165,1,2021.08.14,兰州极地海洋世界门票成人票,8月14日售票窗口工作人员服务态度差，背完身份证还说不能用，让美团重新买票。,
花儿8594,165,1,2021.08.07,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,非常糟糕的海洋世界，环境灰暗空气污浊，几乎啥啥海洋动物都没有就敢叫极地海洋世界太可笑了，很上当的一次出游。,
花絮纷飞，蝶成双,165,1,2021.08.21,兰州极地海洋世界门票成人票,没啥看的，里面环境也比较差，味道较大,
JMp霖,165,2,2021.07.14,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,设施完备，服务良好，项目多，大,
匿名用户,165,2,2021.08.18,兰州极地海洋世界门票成人票,很一般的，相比其他的价格偏高，没有表演。不划算。,
SPF759425228,165,5,2021.08.25,兰州极地海洋世界成人票,挺好玩，孩子特别喜欢,
匿名用户,165,3,2021.08.21,兰州极地海洋世界大学生专属票,非常不错的一次体验，推荐大家，就是有点小贵,
Mirrorystal,165,3,2021.08.04,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,还行，学生票还算实惠吧，不算特别大，有点潮湿，比较好看的就是海豹，海狮，水母种类比较少，雪狐好看，还有龙猫,
花絮纷飞，蝶成双,165,1,2021.08.21,兰州极地海洋世界门票成人票,一般般，只是为了陪小孩来的，划不来,
CyW170047213,165,4,2021.08.26,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,很好,
CTm146663398,165,1,2021.08.21,兰州极地海洋世界门票成人票,服务不好，体验一般，感觉不值这个钱，,
bMC598316752,165,1,2021.07.22,兰州极地海洋世界门票成人票, ,
枫林残忆718,165,3,2021.08.17,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,今天去了一趟兰州极地海洋世界感觉还不错  环境也不错,
匿名用户,165,2,2021.08.15,兰州极地海洋世界门票成人票,价格高，尤其是小孩！项目少，还没有买吃的东西，除了泡面！,
Posion134,165,1,2021.08.19,兰州极地海洋世界门票成人票,比青岛的还贵，关键里面可以看的很少,
行者8535,165,2,2021.08.21,兰州极地海洋世界门票成人票,5年后再游览，还是一成不变，北极狐抑郁了,
可乐儿Y,165,5,2021.06.20,兰州极地海洋世界门票成人票,好看～小动物种类非常多,
mdU359257696,165,3,2021.06.13,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票, ,
匿名用户,165,1,2021.07.24,兰州极地海洋世界夜场票成人票,很小，走慢点十分钟转完，走快点五分钟，要价140，没内容全是雕塑造景，其他自行脑补,
杨军伟yangjunwei,165,2,2021.08.19,兰州极地海洋世界门票成人票,里面没什么东西，下次不会带孩子再来。,
匿名用户,165,2,2021.06.29,兰州极地海洋世界门票成人票,今天场馆内装修很多都没有开放从头走到尾十分钟就结束了，美人鱼表演和海狮表演都看了，总体来说一般吧，有点失望。。。,
CVq571077373,165,5,2021.08.20,兰州极地海洋世界门票医护人员免费票,挺不错的。,
lWc283429019,165,4,2021.08.08,兰州极地海洋世界门票成人票,里面的56六个建筑很美，很有特色，街道也有特色，孩子很喜欢，海洋馆的动物也多，玩的设施也不错，,
匿名用户,165,2,2021.08.17,None,看了很多鱼缸的感觉，没有意思，门票还贵,
匿名用户,165,1,2021.08.02,None,非常垃圾，很不值得一看，纯粹骗钱的,
iyN769146991,165,2,2021.08.15,兰州极地海洋世界门票成人票,价格与品质相差太大，希望兰州有真正的海洋世界,
匿名用户,165,2,2021.08.19,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,只有海豹表演好看，其他都很一般,
onn383077098,165,5,2021.08.15,兰州极地海洋世界门票成人票,遗憾的事是没有具体的表演时间表，错过美人鱼表演,
杨军伟yangjunwei,165,2,2021.08.19,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没什么东西可看，下次不会再去。,
tpp101717458,165,2,2021.08.16,兰州极地海洋世界门票成人票, ,
匿名用户,165,2,2021.04.16,兰州极地海洋世界成人票,价格太偏高，不也就在兰州这个低收入城市这么高的价格我也是醉了，主要拉着生病的舅舅，想着他身体每况愈下，在他有生之年让他开心一下，我们还明确告诉工作人员，舅舅是聋哑人，能不能购买残疾票，但工作人员口气很生硬的说必须有残疾证，一个面朝黄土背朝天的农民 哪有残疾证，即使有，谁还会每天随身携带，真是搞笑，，而且说白了，什么看点都没有，相当于转了高档的花鱼市场的感觉，不值得推荐,
tIg202797700,165,1,2021.08.20,兰州极地海洋世界门票成人票,没去，也没买过票，怎么会有待评价,
Geek秦,165,3,2021.06.18,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,「海狮剧场」「梦幻水母区」「热带海洋区」「沙滩海洋区」,
sxl750328,165,3,2021.07.25,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,环境可以，小朋友喜欢，海底动物中队角多，值得推荐,
cWv892900946,165,3,2021.08.17,兰州极地海洋世界门票成人票,带小孩长见识，挺好，可以去看看,
吃铜锣烧的小叮当,165,3,2021.08.11,兰州极地海洋世界门票成人票,还可以，每次去兰州小孩都要去，比较喜欢看表演,
Fxq734205197,165,5,2021.07.11,兰州极地海洋世界门票成人票,还是值得一去,
匿名用户,165,4,2021.07.09,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,好看，海洋生物种类多,
璐璐baby！,165,3,2021.08.13,兰州极地海洋世界夜场票成人票,还不错，适合小孩子。还是能学到很多东西的,
Hed549407394,165,4,2021.05.15,兰州极地海洋世界门票成人票, ,
对方已是你的好友,165,3,2021.08.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,怎么说，孩子喜欢就行，就是项目有点少,
iui251161801,165,2,2021.07.29,None,除了海豚表演和喂鹦鹉就没什么亮点了,
本地钢炮一枚,165,4,2021.06.10,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,很推荐，各种动物都有，热带、寒带、温带的动物都有，许多大型动物（例如海狮、水獭）。,
EfO949885732,165,3,2021.08.14,兰州极地海洋世界门票成人票,还不错哈  项目单一  细节不够    路线不优,
冰THc839194831,165,3,2021.08.11,兰州极地海洋世界门票成人票,还是不错的，对于甘肃来说，有这样的海洋馆也算可以了。,
匿名用户,165,2,2021.07.30,兰州极地海洋世界门票成人票,票价稍微感觉有点贵，最主要里面刚进去说拍照片的，你稍微便宜点，游客可能会拍，5箱相片100，疯了吧，差差差,
尼古拉斯孙三,165,2,2021.08.14,兰州极地海洋世界门票成人票,还可以，就是门票太贵了 ，带孩子去一次就可以了,
爱美丽574,165,3,2021.07.12,兰州极地海洋世界（儿童节活动）门票亲子（1大1小）票,总体感觉，还好吧。毕竟在兰州像这样的规模和项目已经很不容易了，很遗憾的是没看上表演。,
vQf287383230,165,2,2021.08.14,兰州极地海洋世界门票成人票,感觉很一般，里面不是很大，去一次，肯定不会去第二次,
吃铜锣烧的小叮当,165,3,2021.08.11,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,还可以吧，小孩没回去都要去海洋馆。,
匿名用户,165,2,2021.08.06,兰州极地海洋世界亲子年卡（2大1小）,小孩玩的淘气堡里有大人的臭袜子，你们应该加强一下基础卫生！,
匿名用户,165,1,2021.08.12,兰州极地海洋世界门票成人票,啥都在修，没意思，门票还是那样贵,
cWk427474580,165,1,2021.07.25,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没意思，好多地方在装修，看点有点少，价格较高,
吃铜锣烧的小叮当,165,3,2021.08.11,兰州极地海洋世界门票成人票,还可以吧啊，去了好几回了。疫情就在没去,
冰THc839194831,165,3,2021.08.11,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,地方有点小，不过对于甘肃来说，这个也不错了。,
不善挽留522,165,3,2021.06.19,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,设施一般，想玩的设施在维修，鱼类种类较少，景色还行，魔鬼鱼和北极狐很可爱，海狮表演很有趣,
匿名用户,165,2,2021.06.27,兰州极地海洋世界门票成人票,和兰州海洋公园比差太多了，小且旧！附近住的人随便溜溜娃还可以去，专门去就不值得了，水族的玻璃都旧了，看鱼都不是很清晰了！都什么年代了，里面还有用免费拍照引诱消费的，虽然每个人可以自己选择，可这种形式让人觉得厌恶,
qOJ580584693,165,3,2021.08.12,兰州极地海洋世界门票成人票,还行吧，没时间外面去的时候，带孩子转转挺好的。,
fgb523365332,165,3,2021.05.25,兰州极地海洋世界大学生专属票,看了海狮表演美人鱼表演，但是门票是真的贵，军人的话得要现役军人才算哦，退役或者转业的不算，里面会有点海腥味，所以带好口罩，游玩两个多小时就能出来了，建议不去蛟龙里，一分钟就已经头晕目眩了。,
vDC737518740,165,1,2021.08.04,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,差到极致，我花了180买票，进去半个小时不到转完了，什么玩意儿，动物快给你养死了,
对方已是你的好友,165,3,2021.08.15,兰州极地海洋世界门票成人票,为什么说了一遍又一遍还要在说一遍啊,
EZu765019449,165,2,2021.08.10,兰州极地海洋世界门票成人票,性价比不高，海洋动物太少了，而且介绍很少,
匿名用户,165,4,2021.08.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺好的，就是地方有点小,
koZ119038586,165,2,2021.08.16,兰州极地海洋世界门票成人票,不想去了，不好看，下次不去了，一定不去了,
feJ568225134,165,3,2021.08.06,兰州极地海洋世界门票成人票,设施不错，就是感觉小了点，我是和我爸妈弟弟一起去的，我感觉还可以,
Friendlies101,165,3,2021.08.08,兰州极地海洋世界门票成人票,第一次去，兰和乌比较都大同小异，设施可以，还可以看到小鸟。,
文丞小哥,165,2,2021.08.13,兰州极地海洋世界门票成人票,和想象不一样 有点小失望 继续努力吧！,
匿名用户,165,3,2021.08.13,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,挺好的，很有感觉,很喜欢水母区
吃货万岁0331,165,3,2021.08.11,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,感觉演出花样太少了，没有海豚，章鱼,
彤嘛嘛206,165,2,2021.08.12,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,还可以，就是东西啥都只有几个，少死,
九辞8727,165,4,2021.08.14,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,防控疫情很到位，都很好,
EZu765019449,165,2,2021.08.10,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,海洋动物太少了，价格与感受不匹配,
匿名用户,165,2,2021.08.09,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,价格太高，不值那个价钱！项目还是少了些！,
Abal果冻,165,4,2021.08.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺好,
匿名用户,165,4,2021.08.15,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺好,
匿名用户,165,3,2021.07.25,兰州极地海洋世界门票成人票, ,
FSh108772297,165,2,2021.08.10,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,あなたと一緒に楽しい星に逃げたいです 想和你一起逃往快乐星球,
rQd245149082,165,3,2021.07.19,兰州极地海洋世界门票成人票,价钱太贵，我在洛阳看的比这里地方大，才60多的门票钱,
枫影A,165,3,2021.08.08,兰州极地海洋世界门票成人票,还可以，值得推荐去一趟。和好友打卡的一个好地方,
FSh108772297,165,2,2021.08.10,兰州极地海洋世界门票成人票,做人要昂首挺胸，这样才能隐藏双下巴,
yio563522313,165,3,2021.08.10,兰州极地海洋世界女神节门票女士票,服务态度很好还需努力，项目有点少,
Gfa653995683,165,4,2021.08.15,兰州极地海洋世界门票亲子（1大1小）票,满意,
mwn715243858,165,3,2021.08.07,兰州极地海洋世界大学生专属票,环境不错！有的游客素质不太好，希望加强巡查管理！,
Ucz535757056,165,3,2021.07.18,兰州极地海洋世界门票成人票,都是透着大玻璃观看，敞开的区域旁边都是买饲料的。没啥感觉,
wm546474,165,2,2021.07.29,兰州极地海洋世界门票成人票,设施比较旧，里边的玻璃上也不干净，表演也没有看到。门票优惠价138元/人。感觉不值。,
rLE784730989,165,5,2021.08.14,兰州极地海洋世界门票成人票,好,
期待的曙光,165,3,2021.08.13,兰州极地海洋世界夜场票成人票,很不错下次还来！6666666666,
头快要秃了,165,1,2021.07.23,兰州极地海洋世界儿童/学生/老人/军人/残疾人票门票,一点也不值这个票价，里面也没有什么稀奇古怪的鱼，就是一些深海鱼。还有什么美人鱼表演啥的，都是打个噱头。完全对不起这个票价！,
MT小芭比,165,5,2021.04.29,兰州极地海洋世界门票成人票,和妈妈带宝宝去的，环境很好，有美人鱼表演，海狮表演，强烈推荐，有很多好看的鱼，宝宝特别喜欢水母，特好看，团购的票，很优惠，已经推荐好多同事带小孩去了，都说环境很好，想去的亲们不要犹豫，一定要去，很不错。,
yZk116494480,165,4,2021.08.13,兰州极地海洋世界女神节门票女士票,服务可以,
briecial,165,3,2021.08.08,兰州极地海洋世界门票成人票,环境挺不错的，各种海洋鱼类挺多的,
ejj349879581,165,5,2021.08.11,兰州极地海洋世界门票成人票,特别好 谁不去谁后悔,
Yzonly8,165,1,2021.08.05,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,环境也就那样子吧  不是很好  预想的差多了,
GLT759380162,165,2,2021.08.08,兰州极地海洋世界门票成人票,周围设施，周围环境，卫生环境都还行,
匿名用户,165,2,2021.08.08,兰州极地海洋世界成人票,小孩去玩的比较多，设施一般般吧,
ejj349879581,165,5,2021.08.11,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票, ,
Gaw507665834,165,1,2021.08.08,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,垃圾直接没什么意思，去了就后悔,
白色的槐香,165,2,2021.08.05,兰州极地海洋世界门票亲子（1大1小）票,设施不齐，动物很少，只是水母很多。,
半醉半醒半疯癫灬,165,3,2021.07.27,兰州极地海洋世界门票成人票,总体还不错，但是又没想象中那么好，而且去的时候淘气堡也没开，孩子都没玩上,
GLT759380162,165,2,2021.08.08,兰州极地海洋世界门票成人票,周围环境，周围设施，卫生都还行,
匿名用户,165,2,2021.07.26,兰州极地海洋世界门票成人票,没有想象的那么好，也没有之前去过的其他地方的好，这个确实价格高了，性价比不匹配,
白色的槐香,165,2,2021.08.05,兰州极地海洋世界门票成人票,其它的动物很少，水母很多，很一般吧！,
faN464179463,165,4,2021.08.07,兰州极地海洋世界门票成人票,设施齐全，很有感觉的一天！,
mMg698404006,165,3,2021.08.05,兰州极地海洋世界门票成人票,有真的企鹅，有小丑表演，孩子玩的很开心,
Edh997032357,165,3,2021.06.20,兰州极地海洋世界门票成人票,整体感觉还不错，虽然没有很惊艳的样子，馆内总体规划还是可以的。,
匿名用户,165,3,2021.08.01,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,其它都挺好就是不明情况下照的照片贵的要死，照片太坑人了,
思念不过是一场梦,165,5,2021.08.08,兰州极地海洋世界门票成人票,景色秀丽,
FJN479361155,165,1,2021.08.03,兰州极地海洋世界门票成人票,感觉很一般，不划算，门票还那么贵,
碧海蓝天1283,165,4,2021.08.03,兰州极地海洋世界门票成人票,吃了味道也不错，商家服务周到,
Mirrorystal,165,2,2021.08.04,兰州极地海洋世界海狮合影不限人群票,摸着海狮的爪子拍了一张素颜照。。,
轩木辛,165,3,2021.05.17,兰州极地海洋世界门票成人票,地方很好找，出行也很方便，地方虽不是很大，但区域划分的很清楚，总体来说不错的，值得一去~,
匿名用户,165,1,2021.07.25,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没有性价比可言。。。里面地方小，种类少，不到半个小时就参观结束了。,
忘川之尽,165,2,2021.07.27,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,一般吧，还是有点小，海豚什么的都没了，尤其这个拍照业务，，，，无奈了,
zhenzi3053,165,2,2021.07.26,兰州极地海洋世界门票成人票,没意思    工作人员态度又差   门票根本不值140  浪费时间 浪费钱,
匿名用户,165,2,2021.07.09,None,夜场也是个糊弄，海狮表演没有的，美人鱼表演区，乱糟糟的没人管，前面全是不排队的大人小孩，一点都不安全，管理混乱，以为升级多好呢，没啥变化。,
小小小小葩,165,3,2021.08.01,兰州极地海洋世界门票成人票（夜场）,入园前均可购买,整体很好的，海底世界很美丽的。
温熙晨,165,2,2021.07.30,兰州极地海洋世界门票成人票,一般一般，价格有点贵，不如大名城的好,
艳艳萌宝儿,165,2,2021.07.30,兰州极地海洋世界门票成人票,来了好几次 没一点新意，希望改进各方面,
Knu903758313,165,1,2021.07.31,兰州极地海洋世界夜场票儿童/学生/老人/残疾人/军人票,设施老旧，卫生差，老板：需要装修升级了,
eIf383239042,165,3,2021.08.02,兰州极地海洋世界门票成人票,和家人孩子一起去的，孩子玩的很开心。,
pzN719980752,165,5,2021.05.19,兰州极地海洋世界门票成人票,很不错，「热带海洋区」「河流湖泊区」「沙滩海洋区」「梦幻水母区」「海底潜游区」「海狮剧场」「冰河世纪区」「热带雨林区」,
序雪轩阳409,165,1,2021.07.29,兰州极地海洋世界门票成人票,门票台高，进去太乱卫生差，乱收费照相馆套路太深乱收费,
匿名用户,165,2,2021.07.18,兰州极地海洋世界夜场票成人票,一进门厕所的味道太大了，场馆大小，生物种类比起大名城的海洋公园还是差很远,
wendImj,165,5,2021.06.20,兰州极地海洋世界门票成人票,里面环境特别棒，特别推荐景区项目，里面动物齐全，特推特推,
匿名用户,165,2,2021.07.10,兰州极地海洋世界门票成人票,不划算，里面的动物少，一个小窗户就那么几条小鱼，转一会会儿就完了。感觉还不如五泉山动物园有意思，门票还那么高，就当是扔钱了。,
QqE226126515,165,1,2021.07.27,兰州极地海洋世界女神节门票女士票,除了票价很贵真的没有什么看点，真不值得去，很不推荐浪费钱,
KkE361169020,165,3,2021.07.29,兰州极地海洋世界门票成人票,孩子玩的很开心，照相的是个坑!人多有点挤!,
踏雪无痕966,165,5,2021.06.12,兰州极地海洋世界周年庆成年人生日票,很适合带老人和幼儿一起去。场馆工作人员很热情，需要走的路程短，但馆内可以参观的品种相对比较多。还有可以付费让老人动手的项目。能陪老人度过愉快的假期也可以给孩子增长知识，关键是不太累。出门交通也很方便。,
小团子好可爱,165,3,2021.08.04,兰州极地海洋世界大学生专属票,直播间不至于不至于不会忠贞不渝,
匿名用户,165,2,2021.08.01,兰州极地海洋世界门票成人票,感觉没有想象中那么好……一般。,
藏区人,165,2,2021.07.26,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,进去哪里都是消费的，真心不忍，门票含的内容太少,
紫龙恋,165,1,2021.07.26,None,售票处人员态度过于恶劣，问啥都不说，给你窗口放张纸！,
匿名用户,165,2,2021.06.16,兰州极地海洋世界门票成人票,本来想着正好端午节带着孩子老人去海洋馆转转，结果去好多地方在装修，美人鱼表演没有，企鹅也没有了，小丑鱼那块都没有了，好失落。装修不是应该提前告知吗,
LjA298231348,165,2,2021.08.01,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票, ,
H.Y101,165,3,2021.07.26,兰州极地海洋世界门票成人票,整体还不错，细节需要加强。有特色的东西不多！,
ADe175876073,165,3,2021.06.20,兰州极地海洋世界门票成人票,还不错，孩子们玩的很开心。值得带孩子去玩玩,
干净.6911,165,1,2021.07.25,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没啥玩的，感觉真的一般般，除了美人鱼好看一点在就真的没有什么好玩的。,
KkE361169020,165,2,2021.07.29,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,门票太贵，有点挤!照相是个坑!,
序雪轩阳409,165,2,2021.07.29,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,环境不错就是太乱，照相套路太深，乱收费,
uYs804430944,165,2,2021.07.31,兰州极地海洋世界门票成人票,一般，太一般了，啥都没有，没啥意思,
AOT708661363,165,2,2021.07.26,兰州极地海洋世界门票成人票,门票贵  不值这个价    环境也不是太好  不会再去了,
AOT708661363,165,2,2021.07.26,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,环境不好  门票贵   不会再去了一点不值这个价位,
JXy379739071,165,2,2021.07.26,兰州极地海洋世界门票成人票,一般，没有第一次来好了，可能是装修的原因吧,
Fzh695536777,165,2,2021.07.28,兰州极地海洋世界门票成人票,很简单，没有特戒新奇的事情，也不大，不,
pxw941907271,165,2,2021.07.30,兰州极地海洋世界门票成人票,没什么意思，门票还很贵。。。。。,
LPC845097017,165,5,2021.06.20,兰州极地海洋世界门票成人票,很好，服务周到，表演精彩！,
匿名用户,165,2,2021.07.21,兰州极地海洋世界门票成人票,场地这么小 卫生也差 怎么收140元的 一线城市的价格 却是这种状态,
rqm467488287,165,5,2021.07.11,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,不错，干净卫生，住的挺好的,
匿名用户,165,3,2021.05.25,兰州极地海洋世界门票成人票,还行吧，可以带孩子去看一下，就是进去感觉没什么可看的，就到头了。,
YKn94340310,165,4,2021.07.28,兰州极地海洋世界门票成人票,性价比一般，环境设施一般,
ADq524752078,165,3,2021.07.24,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,还行吧，就是门票有点小贵，里面还有各种拍照的套路,
LPC845097017,165,5,2021.06.20,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,很好玩啊，孩子很喜欢啊！,
QqE226126515,165,1,2021.07.27,兰州极地海洋世界门票成人票,浪费钱不推荐很不值得去，以后不会再去的,
匿名用户,165,2,2021.07.24,兰州极地海洋世界门票成人票,【环境】【项目】「海狮剧场」「冰河世纪区」,
dzz38306841,165,3,2021.05.15,兰州极地海洋世界门票成人票,可以，孩子很喜欢，值得一看，美人鱼表演，棒极了，沙滩还是另收费的,
yzJ961784508,165,1,2021.07.21,兰州极地海洋世界门票成人票,设施陈旧，服务态度不好，里面没什么新奇的东西,
匿名用户,165,3,2021.07.24,兰州极地海洋世界门票成人票,挺好的，还不错呢，主要为了孩子,孩子挺喜欢的
ADq524752078,165,2,2021.07.24,兰州极地海洋世界门票成人票,门票有点贵，可能是因为我穷吧，感觉不值得,
yzJ961784508,165,1,2021.07.21,兰州极地海洋世界门票成人票,设备陈旧，里面看不到工作人员，没人特殊的地方,
ULo812281645,165,2,2021.07.22,兰州极地海洋世界成人票,就在小区的地下室，太小了，价格还高，性价比太低！,
雷霆帮,165,2,2021.07.22,兰州极地海洋世界门票成人票,小型的没啥东东！跟前的还可以去去离得远的就算了！不划算！,
匿名用户,165,3,2021.07.24,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺好的，还不错呢，主要陪孩子玩儿,
匿名用户,165,4,2021.07.22,兰州极地海洋世界门票成人票,总体很满意，带着孩子去看看，拓宽下视野。,
咖啡屋343,165,3,2021.06.15,兰州极地海洋世界门票成人票,感觉还不错，带着老婆孩子去玩了玩,
skS668715695,165,1,2021.07.19,兰州极地海洋世界门票成人票,什么海洋馆，太垃圾了，环境特别差，七十几块钱根本不值得,
等待的避风港湾,165,3,2021.07.21,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,设施环境还可以，主要小孩玩得开心安全就好,
匿名用户,165,4,2021.07.28,兰州极地海洋世界门票成人票,美人鱼太美了,
约诺123,165,3,2021.07.19,兰州极地海洋世界门票成人票,「河流湖泊区」「海底潜游区」「海狮剧场」总体来说还不错,
屾頔！,165,4,2021.07.09,兰州极地海洋世界门票成人票,美人鱼真的好好看,
zgx397430433,165,3,2021.07.25,兰州极地海洋世界门票亲子（1大1小）票,小孩子玩的很开心，下次还会再来的！,
匿名用户,165,2,2021.07.18,兰州极地海洋世界门票成人票,场景一般般，没有吸引力。节目也比较少，感觉没啥新鲜的。,
匿名用户,165,5,2021.03.27,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票, ,
nei798716140,165,3,2021.07.21,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,挺好的，大西北也有海洋馆了，适合带小孩游玩,
匿名用户,165,3,2021.07.21,兰州极地海洋世界门票成人票,里边内容少，逛一圈就回了，这个价格不太值得,
SJY121647696,165,1,2021.07.03,None,里面有一个好像叫马诚，不知道他从哪弄到我的电话，从下午加微信到打电话一直骚扰我，吓得我都不敢出门，希望各位领导好好调查一下,
MBr425314109,165,1,2021.07.20,兰州极地海洋世界门票成人票,运气好能碰到所有项目，完全不值这个价格,
SoU362426997,165,2,2021.07.22,兰州极地海洋世界门票成人票,东西太少，没什么可看的，那个价不值得,
uHH678181612,165,3,2021.07.17,兰州极地海洋世界门票成人票,「海狮剧场」，「梦幻水母区」，「沙滩海洋区」孩子都挺喜欢的。,
Phh224486517,165,2,2021.07.24,兰州极地海洋世界门票成人票,比起大城市的差的很多！！！！！！！！！！！,
匿名用户,165,1,2021.05.03,兰州极地海洋世界门票成人票,真的超级差…里面又臭又闷，啥都没有，北极熊是标本，企鹅是标本，啥除了水母多，就是金鱼多，其他的，最主要里面超级热，都不舍得开空调…根本不值得一百四十块钱的门票，进去转了一圈十分钟就出来了。再也不会去了。体验感真的差到感人。,
格兰朵1,165,3,2021.07.23,兰州极地海洋世界门票成人票,还不错哦，里面有点闷，别的都还可以,
SoU362426997,165,2,2021.07.22,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,没有想象的那么好，里面看的东西太少,
Phh224486517,165,2,2021.07.24,兰州极地海洋世界门票儿童/学生/老人/军人/残疾人票,兰州首屈一指，还可以，，，，。。，,
crj87536288,165,3,2021.07.22,兰州极地海洋世界门票成人票,【交通】便利，方便，很舒服，很便捷,
萱儿小朵,165,3,2021.06.05,兰州极地海洋世界门票成人票,五一去的，人山人海，动物看人，人多了就没网了，手机很难验证,
匿名用户,165,3,2021.07.21,兰州极地海洋世界门票亲子（1大1小）票,度假期间，带孩子玩，这里是不错的选择，,
PFU595604181,165,2,2021.07.21,兰州极地海洋世界门票儿童/学生/老人/残疾人/军人票,一般般的一般般，没有很吸引人的地方,
武威山里娃,165,4,2021.07.24,兰州极地海洋世界门票（儿童/学生/老人/残疾人/记者/军人票）,还不错,
匿名用户,165,3,2021.07.21,兰州极地海洋世界门票成人票, ,
一叶花开君临天下,165,1,2021.07.19,兰州极地海洋世界门票成人票,一般般，不想去评价写字，非要让人写,
